dataset	sample	ambient	origin
VLP_HanniganG_2015	MG100436	HUMAN	SKIN
VLP_HanniganG_2015	MG100685	HUMAN	SKIN
VLP_HanniganG_2015	MG100656	HUMAN	SKIN
VLP_HanniganG_2015	MG100274	HUMAN	SKIN
VLP_HanniganG_2015	MG100285	HUMAN	SKIN
VLP_HanniganG_2015	MG100653	HUMAN	SKIN
VLP_HanniganG_2015	MG100673	HUMAN	SKIN
VLP_HanniganG_2015	MG100240	HUMAN	SKIN
VLP_HanniganG_2015	MG100270	HUMAN	SKIN
VLP_HanniganG_2015	MG100603	HUMAN	SKIN
VLP_HanniganG_2015	MG100271	HUMAN	SKIN
VLP_HanniganG_2015	MG100431	HUMAN	SKIN
