dataset	sample	ambient	origin
Perez-BrocalV_2018	50_R	HUMAN	ORAL
Perez-BrocalV_2018	150_R	HUMAN	ORAL
Perez-BrocalV_2018	175_R	HUMAN	ORAL
Perez-BrocalV_2018	332_R	HUMAN	ORAL
Perez-BrocalV_2018	160_R	HUMAN	ORAL
Perez-BrocalV_2018	39_R	HUMAN	ORAL
Perez-BrocalV_2018	48_R	HUMAN	ORAL
Perez-BrocalV_2018	169_R	HUMAN	ORAL
Perez-BrocalV_2018	128_R	HUMAN	ORAL
Perez-BrocalV_2018	178_R	HUMAN	ORAL
Perez-BrocalV_2018	57_R	HUMAN	ORAL
Perez-BrocalV_2018	124_R	HUMAN	ORAL
Perez-BrocalV_2018	113_R	HUMAN	ORAL
Perez-BrocalV_2018	46_R	HUMAN	ORAL
Perez-BrocalV_2018	257_R	HUMAN	ORAL
Perez-BrocalV_2018	72_R	HUMAN	ORAL
Perez-BrocalV_2018	379_R	HUMAN	ORAL
Perez-BrocalV_2018	70_R	HUMAN	ORAL
Perez-BrocalV_2018	167_R	HUMAN	ORAL
Perez-BrocalV_2018	158_R	HUMAN	ORAL
Perez-BrocalV_2018	40_R	HUMAN	ORAL
Perez-BrocalV_2018	33_R	HUMAN	ORAL
Perez-BrocalV_2018	173_R	HUMAN	ORAL
Perez-BrocalV_2018	118_R	HUMAN	ORAL
Perez-BrocalV_2018	31_R	HUMAN	ORAL
Perez-BrocalV_2018	21_R	HUMAN	ORAL
Perez-BrocalV_2018	16_R	HUMAN	ORAL
Perez-BrocalV_2018	104_R	HUMAN	ORAL
Perez-BrocalV_2018	100_R	HUMAN	ORAL
Perez-BrocalV_2018	10_R	HUMAN	ORAL
Perez-BrocalV_2018	06_R	HUMAN	ORAL
Perez-BrocalV_2018	08_R	HUMAN	ORAL
Perez-BrocalV_2018	385_R	HUMAN	ORAL
Perez-BrocalV_2018	280_R	HUMAN	ORAL
Perez-BrocalV_2018	111_R	HUMAN	ORAL
Perez-BrocalV_2018	14_R	HUMAN	ORAL
Perez-BrocalV_2018	59_R	HUMAN	ORAL
Perez-BrocalV_2018	106_R	HUMAN	ORAL
Perez-BrocalV_2018	25_R	HUMAN	ORAL
Perez-BrocalV_2018	180_R	HUMAN	ORAL
Perez-BrocalV_2018	37_R	HUMAN	ORAL
Perez-BrocalV_2018	12_R	HUMAN	ORAL
Perez-BrocalV_2018	23_R	HUMAN	ORAL
Perez-BrocalV_2018	26_R	HUMAN	ORAL
Perez-BrocalV_2018	17_R	HUMAN	ORAL
Perez-BrocalV_2018	108_R	HUMAN	ORAL
Perez-BrocalV_2018	176_R	HUMAN	ORAL
Perez-BrocalV_2018	302_R	HUMAN	ORAL
Perez-BrocalV_2018	96_R	HUMAN	ORAL
Perez-BrocalV_2018	89_R	HUMAN	ORAL
Perez-BrocalV_2018	53_R	HUMAN	ORAL
Perez-BrocalV_2018	87_R	HUMAN	ORAL
Perez-BrocalV_2018	19_R	HUMAN	ORAL
SiqueiraJD_2018	V19B	HUMAN	STOOL
SiqueiraJD_2018	V15B	HUMAN	STOOL
SiqueiraJD_2018	V11A	HUMAN	STOOL
SiqueiraJD_2018	V13B	HUMAN	STOOL
SiqueiraJD_2018	V16D	HUMAN	STOOL
SiqueiraJD_2018	V18C	HUMAN	STOOL
SiqueiraJD_2018	V2B	HUMAN	STOOL
SiqueiraJD_2018	V17B	HUMAN	STOOL
SiqueiraJD_2018	V20B	HUMAN	STOOL
SiqueiraJD_2018	V7A	HUMAN	STOOL
SiqueiraJD_2018	V7B	HUMAN	STOOL
SiqueiraJD_2018	V13D	HUMAN	STOOL
SiqueiraJD_2018	V20A	HUMAN	STOOL
SiqueiraJD_2018	V15A	HUMAN	STOOL
SiqueiraJD_2018	V2D	HUMAN	STOOL
SiqueiraJD_2018	V1C	HUMAN	STOOL
SiqueiraJD_2018	V9C	HUMAN	STOOL
SiqueiraJD_2018	V16A	HUMAN	STOOL
SiqueiraJD_2018	V14D	HUMAN	STOOL
SiqueiraJD_2018	V11C	HUMAN	STOOL
SiqueiraJD_2018	V11D	HUMAN	STOOL
SiqueiraJD_2018	V14A	HUMAN	STOOL
SiqueiraJD_2018	V9D	HUMAN	STOOL
SiqueiraJD_2018	V10C	HUMAN	STOOL
SiqueiraJD_2018	V4D	HUMAN	STOOL
SiqueiraJD_2018	V8C	HUMAN	STOOL
SiqueiraJD_2018	V6B	HUMAN	STOOL
SiqueiraJD_2018	V3D	HUMAN	STOOL
SiqueiraJD_2018	V18A	HUMAN	STOOL
SiqueiraJD_2018	V1A	HUMAN	STOOL
SiqueiraJD_2018	V6A	HUMAN	STOOL
SiqueiraJD_2018	V4A	HUMAN	STOOL
SiqueiraJD_2018	V12A	HUMAN	STOOL
SiqueiraJD_2018	V3A	HUMAN	STOOL
SiqueiraJD_2018	V17A	HUMAN	STOOL
SiqueiraJD_2018	V18B	HUMAN	STOOL
SiqueiraJD_2018	V13A	HUMAN	STOOL
SiqueiraJD_2018	V6D	HUMAN	STOOL
SiqueiraJD_2018	V5B	HUMAN	STOOL
SiqueiraJD_2018	V7C	HUMAN	STOOL
SiqueiraJD_2018	V16B	HUMAN	STOOL
SiqueiraJD_2018	V10D	HUMAN	STOOL
SiqueiraJD_2018	V12B	HUMAN	STOOL
SiqueiraJD_2018	V19A	HUMAN	STOOL
SiqueiraJD_2018	V1D	HUMAN	STOOL
SiqueiraJD_2018	V12C	HUMAN	STOOL
SiqueiraJD_2018	V1B	HUMAN	STOOL
SiqueiraJD_2018	V14B	HUMAN	STOOL
SiqueiraJD_2018	V18D	HUMAN	STOOL
SiqueiraJD_2018	V13C	HUMAN	STOOL
SiqueiraJD_2018	V10A	HUMAN	STOOL
SiqueiraJD_2018	V20C	HUMAN	STOOL
SiqueiraJD_2018	V11B	HUMAN	STOOL
SiqueiraJD_2018	V2C	HUMAN	STOOL
SiqueiraJD_2018	V10B	HUMAN	STOOL
SiqueiraJD_2018	V19C	HUMAN	STOOL
SiqueiraJD_2018	V4B	HUMAN	STOOL
SiqueiraJD_2018	V15D	HUMAN	STOOL
SiqueiraJD_2018	V8B	HUMAN	STOOL
SiqueiraJD_2018	V20D	HUMAN	STOOL
SiqueiraJD_2018	V16C	HUMAN	STOOL
SiqueiraJD_2018	V15C	HUMAN	STOOL
SiqueiraJD_2018	V5D	HUMAN	STOOL
SiqueiraJD_2018	V9B	HUMAN	STOOL
SiqueiraJD_2018	V17C	HUMAN	STOOL
SiqueiraJD_2018	V3C	HUMAN	STOOL
SiqueiraJD_2018	V6C	HUMAN	STOOL
SiqueiraJD_2018	V19D	HUMAN	STOOL
SiqueiraJD_2018	V14C	HUMAN	STOOL
SiqueiraJD_2018	V12D	HUMAN	STOOL
SiqueiraJD_2018	V2A	HUMAN	STOOL
SiqueiraJD_2018	V9A	HUMAN	STOOL
SiqueiraJD_2018	V17D	HUMAN	STOOL
SiqueiraJD_2018	V8D	HUMAN	STOOL
SiqueiraJD_2018	V5C	HUMAN	STOOL
SiqueiraJD_2018	V7D	HUMAN	STOOL
SiqueiraJD_2018	V8A	HUMAN	STOOL
SiqueiraJD_2018	V5A	HUMAN	STOOL
SiqueiraJD_2018	V3B	HUMAN	STOOL
SiqueiraJD_2018	V4C	HUMAN	STOOL
VLP_AguirreD_2015	ERR414819	ENVO	FRESHWATER
VLP_AguirreD_2015	ERR414818	ENVO	FRESHWATER
VLP_AguirreD_2015	ERR414817	ENVO	FRESHWATER
VLP_AguirreD_2015	ERR414823	ENVO	FRESHWATER
VLP_AguirreD_2015	ERR414822	ENVO	FRESHWATER
VLP_AguirreD_2015	ERR414821	ENVO	FRESHWATER
VLP_AguirreD_2015	ERR414820	ENVO	FRESHWATER
VLP_Dinsdale_2008	SID28409	ENVO	FRESHWATER
VLP_Dinsdale_2008	SID28411	ENVO	FRESHWATER
VLP_Dinsdale_2008	SID28361	ENVO	FRESHWATER
VLP_EmersonJ_2012	2010Bt1	ENVO	HYPERSALINE
VLP_EmersonJ_2012	2010Bt3	ENVO	HYPERSALINE
VLP_EmersonJ_2012	2007At1	ENVO	HYPERSALINE
VLP_EmersonJ_2012	2010Bt2	ENVO	HYPERSALINE
VLP_EmersonJ_2012	2007At2	ENVO	HYPERSALINE
VLP_EmersonJ_2012	2010A	ENVO	HYPERSALINE
VLP_EmersonJ_2012	2010Bt4	ENVO	HYPERSALINE
VLP_EmersonJ_2012	2009B	ENVO	HYPERSALINE
VLP_HanniganG_2015	MG100416	HUMAN	SKIN
VLP_HanniganG_2015	MG100275	HUMAN	SKIN
VLP_HanniganG_2015	MG100641	HUMAN	SKIN
VLP_HanniganG_2015	MG100288	HUMAN	SKIN
VLP_HanniganG_2015	MG100204	HUMAN	SKIN
VLP_HanniganG_2015	MG100101	HUMAN	SKIN
VLP_HanniganG_2015	MG100196	HUMAN	SKIN
